ProcessId,Image,ParentProcessId,CommandLine,UtcTime
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.837
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.853
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.853
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.869
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.884
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.884
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.900
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.916
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:15.016
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:15.016
