Task,Image,CommandLine,TargetFilename,ImageLoaded,PipeName,QueryName,EventType
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Dired13b18a9#\dff33f01d1f7a9fba7edaee6ac1d3e14\System.DirectoryServices.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\MpClient.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml\f583596890ce60e630b7ff21ba05a597\System.Xml.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Numerics\08ab32f51a9f605fad68226bd714636c\System.Numerics.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Data\2e74fe69a085f58c09082967734858ab\System.Data.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\assembly\GAC_64\System.Data\v4.0_4.0.0.0__b77a5c561934e089\System.Data.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Configuration\20be5c7cdf114db6fbb19e95f2043272\System.Configuration.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clrjit.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.P6f792626#\949c56b9c86f241813dac764b85cd5e8\Microsoft.PowerShell.Security.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Transactions\64fe445415bf7ba09e8b762e2ef48c41\System.Transactions.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\assembly\GAC_64\System.Transactions\v4.0_4.0.0.0__b77a5c561934e089\System.Transactions.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\diasymreader.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.Pae3498d9#\8a03d7d017f2d1a37a74c2c8fd560f72\Microsoft.PowerShell.Commands.Management.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Confe64a9051#\6a48fd9cb82b5e41b57033ba125f58ed\System.Configuration.Install.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.P521220ea#\1f54ea608a3bbccdd765a86a3700d8b0\Microsoft.PowerShell.Commands.Utility.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\595f4c0315a558197f4bd7d53dacaf74\System.Drawing.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Windows.Forms\f443d8df444525c5334b67cea18e81f6\System.Windows.Forms.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Serv759bfb78#\e8deeac4c0b5c58fef2ff6948b7d5d46\System.ServiceProcess.ni.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\WMINet_Utils.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wbemcomn.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wbem\wbemprox.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\mswsock.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wbem\wmiutils.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\dnsapi.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\IPHLPAPI.DLL,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\nsi.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\NapiNSP.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\FWPUCLNT.DLL,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\rasadhlp.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wbem\wbemsvc.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\pnrpnsp.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wbem\fastprox.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\winrnr.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wshbth.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\nlansp_c.dll,-,-,-
13,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,-,-,-,SetValue
1,C:\Windows\System32\wevtutil.exe,"""C:\WINDOWS\system32\wevtutil.exe"" query-events C:\Users\Christian\Desktop\tesi_magistrale\pwsh-execution-analysis\evtx1\output4.evtx /logfile /element:root",-,-,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\wevtutil.exe,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\ntdll.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\kernel32.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\KernelBase.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\msvcp_win.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\ucrtbase.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\oleaut32.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\combase.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\rpcrt4.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\SHCore.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\sechost.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\advapi32.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\msvcrt.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\bcrypt.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\kernel.appcore.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\bcryptprimitives.dll,-,-,-
7,C:\Windows\System32\wevtutil.exe,-,-,C:\Windows\System32\wevtapi.dll,-,-,-
17,C:\Program Files\PowerShell\7\pwsh.exe,-,-,-,\dotnet-diagnostic-13348,-,CreatePipe
17,C:\Program Files\PowerShell\7\pwsh.exe,-,-,-,\PSHost.133499783097113330.13348.DefaultAppDomain.pwsh,-,CreatePipe
